author, title
Sapkowski, Ostatnie Życzenie
Sapkowski, Krew elfów
Sapkowski, Miecz przeznaczenia
Sapkowski, Chrzest ognia
Sapkowski, Wieża Jaskółki
Sapkowski, Czas pogardy
Sapkowski, Pani Jeziora
Sapkowski, Sezon burz
Tolkien, Silmarillion
Tolkien, Drużyna Pierścienia
Tolkien, Dwie Wieże
Tolkien, Powrót Króla
Tolkien, Hobbit
Bowden, Renesans
Bowden, Bractwo
Bowden, Tajemna krucjata
Bowden, Objawienie
Bowden, Porzuceni
Bowden, Czarna bandera
Bowden, Pojednanie
Bowden, Podziemie
Martin, Gra o tron
Martin, Starcie królów
Martin, Nawałnica mieczy
Martin, Uczta dla wron
Martin, Taniec ze smokami
Martin, Rycerz siedmiu królestw
Pratchett, Zbrojni
Pratchett, Kosiarz
Pratchett, Kolor Magii
Pratchett, Blask Fantastyczny
Pratchett, Wiedźmikołaj
Paolini, Eragon
Paolini, Brisingr
Paolini, Dziedzictwo
Paolini, Najstarszy
Rowling, Kamień Filozoficzny
Rowling, Czara Ognia
Rowling, Więzień Azkabanu
Rowling, Komnata Tajemnic
Rowling, Zakon Feniksa
Canavan, Nowicjuszka
Canavan, Królowa Zdrajców
Canavan, Wielki Mistrz
Canavan, Misja Ambasadora
Canavan, Gildia Magów
Canavan, Anioł Burz

